Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
31-DEC-2021,17244.5,17400.8,17238.5,17354.05,167025720,14588.54
03-JAN-2022,17387.15,17646.65,17383.3,17625.7,200456430,16181.36
04-JAN-2022,17681.4,17827.6,17593.55,17805.25,247437472,18604.16
05-JAN-2022,17820.1,17944.7,17748.85,17925.25,251460038,23737.31
06-JAN-2022,17768.5,17797.95,17655.55,17745.9,236454824,22643.82
07-JAN-2022,17797.6,17905,17704.55,17812.7,239338015,21447.89
10-JAN-2022,17913.3,18017.45,17879.15,18003.3,232418075,20853.64
11-JAN-2022,17997.75,18081.25,17964.4,18055.75,220238796,20781.46
12-JAN-2022,18170.4,18227.95,18128.8,18212.35,244974287,22298.69
13-JAN-2022,18257,18272.25,18163.8,18257.8,303700545,28670.93
14-JAN-2022,18185,18286.95,18119.65,18255.75,229451608,21024.51
17-JAN-2022,18235.65,18321.55,18228.75,18308.1,266702919,23859.38
18-JAN-2022,18337.2,18350.95,18085.9,18113.05,227507319,20852.67
19-JAN-2022,18129.2,18129.2,17884.9,17938.4,276662654,25310.19
20-JAN-2022,17921,17943.7,17648.45,17757,258094246,25863.29
21-JAN-2022,17613.7,17707.6,17485.85,17617.15,277645373,25941.64
24-JAN-2022,17575.15,17599.4,16997.85,17149.1,323847388,28387.73
25-JAN-2022,17001.55,17309.15,16836.8,17277.95,326515896,31344.46
27-JAN-2022,17062,17182.5,16866.75,17110.15,395596577,36296.64
28-JAN-2022,17208.3,17373.5,17077.1,17101.95,355284285,29799.89
31-JAN-2022,17301.05,17410,17264.15,17339.85,321660346,25474.13
01-FEB-2022,17529.45,17622.4,17244.55,17576.85,386391485,30033.66
02-FEB-2022,17706.2,17794.6,17674.8,17780,271205907,23611.59
03-FEB-2022,17767.75,17781.15,17511.15,17560.2,226614989,20373.06
04-FEB-2022,17590.2,17617.8,17462.55,17516.3,261434170,20651.85
07-FEB-2022,17456.3,17536.75,17119.4,17213.6,265037933,21925.11
08-FEB-2022,17279.85,17306.45,17043.65,17266.75,268526210,23846.16
09-FEB-2022,17370.1,17477.15,17339,17463.8,236350514,19327.67
10-FEB-2022,17554.1,17639.45,17427.15,17605.85,273606440,22210.93
11-FEB-2022,17451,17454.75,17303,17374.75,253141660,23230.82
14-FEB-2022,17076.15,17099.5,16809.65,16842.8,305510740,24976.16
15-FEB-2022,16933.25,17375,16839.25,17352.45,298658142,24765.67
16-FEB-2022,17408.45,17490.6,17257.7,17322.2,244549223,21128.38
17-FEB-2022,17396.55,17442.9,17235.85,17304.6,232136131,19381.26
18-FEB-2022,17236.05,17380.8,17219.2,17276.3,189620888,16126.96
21-FEB-2022,17192.25,17351.05,17070.7,17206.65,215183301,18725.57
22-FEB-2022,16847.95,17148.55,16843.8,17092.2,300131995,24040.84
23-FEB-2022,17194.5,17220.7,17027.85,17063.25,200229631,17662.47
24-FEB-2022,16548.9,16705.25,16203.25,16247.95,457967874,36650.83
25-FEB-2022,16515.65,16748.8,16478.3,16658.4,329780732,25743.77
28-FEB-2022,16481.6,16815.9,16356.3,16793.9,404214666,33831.57
02-MAR-2022,16593.1,16678.5,16478.65,16605.95,517723542,39407.44
03-MAR-2022,16723.2,16768.95,16442.95,16498.05,442068263,31413
04-MAR-2022,16339.45,16456,16133.8,16245.35,456143040,34821.1
07-MAR-2022,15867.95,15944.6,15711.45,15863.15,585403660,38038.75
08-MAR-2022,15747.75,16028.75,15671.45,16013.45,543600673,38704.4
09-MAR-2022,16078,16418.05,15990,16345.35,462231428,35329.34
10-MAR-2022,16757.1,16757.3,16447.9,16594.9,486445481,35513.73
11-MAR-2022,16528.8,16694.4,16470.9,16630.45,343717045,24720.34
14-MAR-2022,16633.7,16887.95,16606.5,16871.3,314669685,23824.02
15-MAR-2022,16900.65,16927.75,16555,16663,381631902,29731.09
16-MAR-2022,16876.65,16987.9,16837.85,16975.35,259973396,21361.32
17-MAR-2022,17202.9,17344.6,17175.75,17287.05,448335248,35367.28
21-MAR-2022,17329.5,17353.35,17096.4,17117.6,285451208,22886.39
22-MAR-2022,17120.4,17334.4,17006.3,17315.5,338263468,27347.6
23-MAR-2022,17405.05,17442.4,17199.6,17245.65,292120348,24705.28
24-MAR-2022,17094.95,17291.75,17091.15,17222.75,290280124,25011.72
25-MAR-2022,17289,17294.9,17076.55,17153,237115741,20031.39
28-MAR-2022,17181.85,17235.1,17003.9,17222,253240837,19976.26
29-MAR-2022,17297.2,17343.65,17235.7,17325.3,235149625,20305.78
30-MAR-2022,17468.15,17522.5,17387.2,17498.25,505031841,28907.47
31-MAR-2022,17519.2,17559.8,17435.2,17464.75,281111679,24032.07
01-APR-2022,17436.9,17703.7,17422.7,17670.45,291773447,21132.13
04-APR-2022,17809.1,18114.65,17791.4,18053.4,345526502,38623.94
05-APR-2022,18080.6,18095.45,17921.55,17957.4,283453612,25096.7
06-APR-2022,17842.75,17901,17779.85,17807.65,328824420,24252.48
07-APR-2022,17723.3,17787.5,17623.7,17639.55,308840215,26236.91
08-APR-2022,17698.15,17842.75,17600.55,17784.35,274447433,25608.1
11-APR-2022,17740.9,17779.05,17650.95,17674.95,251701846,21001.58
12-APR-2022,17584.85,17595.3,17442.35,17530.3,266029060,23958.77
13-APR-2022,17599.9,17663.65,17457.4,17475.65,245061941,20229.83
18-APR-2022,17183.45,17237.75,17067.85,17173.65,376130248,30154.62
19-APR-2022,17258.95,17275.65,16824.7,16958.65,401399563,35467.13
20-APR-2022,17045.25,17186.9,16978.95,17136.55,286069736,25972.15
21-APR-2022,17234.6,17414.7,17215.5,17392.6,285200022,24999.9
22-APR-2022,17242.75,17315.3,17149.2,17171.95,262739740,23371.7
25-APR-2022,17009.05,17054.3,16888.7,16953.95,275685925,22699.65
26-APR-2022,17121.3,17223.85,17064.45,17200.8,261065753,22079.92
27-APR-2022,17073.35,17110.7,16958.45,17038.4,265140480,25373.8
28-APR-2022,17189.5,17322.5,17071.05,17245.05,312914417,28488.87
29-APR-2022,17329.25,17377.65,17053.25,17102.55,336243642,29582.86
02-MAY-2022,16924.45,17092.25,16917.25,17069.1,278155513,21222.64
04-MAY-2022,17096.6,17132.85,16623.95,16677.6,310632799,27405.52
05-MAY-2022,16854.75,16945.7,16651.85,16682.65,265793403,21792.91
06-MAY-2022,16415.55,16484.2,16340.9,16411.25,300527719,25472.95
09-MAY-2022,16227.7,16403.7,16142.1,16301.85,288402950,23274.74
10-MAY-2022,16248.9,16404.55,16197.3,16240.05,283061200,22685.27
11-MAY-2022,16270.05,16318.75,15992.6,16167.1,284294438,22994.38
12-MAY-2022,16021.1,16041.95,15735.75,15808,314921678,25352.34
13-MAY-2022,15977,16083.6,15740.85,15782.15,369135540,27454.12
16-MAY-2022,15845.1,15977.95,15739.65,15842.3,217646558,17852.19
